Code,Description,ReferenceManufactures,productcode,ProductGUID,bodega_origen,bodega_destino,periodos_consignacion,periodos_sin_asignar,cantidad_disponible,cantidad_negativa,cantidad_a_trasladar,cantidad_pendiente,estado
VAR032,Difusor Varitas 100 mL - Palma Real,Hilalma,103479,981d5542-5fc5-4964-b5fe-f9f11e008f0b,CONSIG01 - Inventario en consignación,Sin asignar,202603,202602,3.0,1.0,1.0,0.0,completo
VAR033,Difusor Varitas 100 mL - Dulce de Vainilla,Hilalma,103478,1f500278-4848-4fe5-832f-d5874649bff1,CONSIG01 - Inventario en consignación,Sin asignar,202510,202602,3.0,3.0,3.0,0.0,completo
VAR037,Difusor Varitas 100 mL - Magia Oriental,HILALMA,29894,8e58f96f-a9be-482f-a6e6-bb20159a745f,CONSIG01 - Inventario en consignación,Sin asignar,202603,202512,3.0,1.0,1.0,0.0,completo
VAR038,Difusor Varitas 100 mL - Jardín Rosé,HILALMA,29893,6ebd682c-73e5-4533-bbc4-29f4c5056561,CONSIG01 - Inventario en consignación,Sin asignar,202506,202602,2.0,2.0,2.0,0.0,completo
VAR075,Refill Difusor Varitas 300 mL - Amare,HILALMA,77272,123484f0-6cbe-4c30-89ac-b2f9c26f0876,CONSIG01 - Inventario en consignación,Sin asignar,202506,202602,2.0,2.0,2.0,0.0,completo
VAR080,Refill Difusor Varitas 300 mL - Noches Serenas,HILALMA,77277,902c0289-53f1-4724-9522-2dd4cbc827bc,CONSIG01 - Inventario en consignación,Sin asignar,202512,202602,2.0,2.0,2.0,0.0,completo
VAR081,Refill Difusor Varitas 300 mL - Palma Real,HILALMA,77278,4d947a8d-84ff-46c1-8cc8-4ba92e036793,CONSIG01 - Inventario en consignación,Sin asignar,202508,202602,2.0,2.0,2.0,0.0,completo
VAR104,Difusor Varitas 100 mL - Alma de Oriente,HILALMA,103332,74356e14-0c37-45b5-a37c-40b37fd3bb29,CONSIG01 - Inventario en consignación,Sin asignar,202512,202602,8.0,5.0,5.0,0.0,completo
VAR105,Difusor Varitas 100 mL - Ambar de Nuit,HILALMA,103333,eed52800-6f88-4590-b881-8cbb5cca33c9,CONSIG01 - Inventario en consignación,Sin asignar,202507,202601,7.0,5.0,5.0,0.0,completo
VASIJADEMETERS,VASIJA DEMETER S,KALA Y GRECO,114712,bf9bf672-c76b-4aac-be28-dbeda615e4dd,CONSIG01 - Inventario en consignación,Sin asignar,202508,202512,1.0,1.0,1.0,0.0,completo
VASIJAGEAMINI,VASIJA GEA MINI,KALA Y GRECO,114716,c9c8d3b3-4c68-4e6a-8e20-6b7fa68361af,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,3.0,1.0,1.0,0.0,completo
VELASCORTAS,SETX3 VELAS CORTAS,ZORRO Y JAGUAR,77311,bd4e23be-33c2-418f-9e86-76ee1281e8ad,CONSIG01 - Inventario en consignación,Sin asignar,202505,202511,2.0,2.0,2.0,0.0,completo
VELONBEELA,VELON DE BEELA EN CERA DE ABEJA,ALEJANDRA ANDRADE,80183,978df611-787c-43df-8a80-bff23dfffe0e,CONSIG01 - Inventario en consignación,Sin asignar,202510,202510,4.0,1.0,1.0,0.0,completo
VELONBEELAALTO,VELON ALTO EN CERA DE ABEJA,ALEJANDRA ANDRADE,126502,133981f1-698a-41e5-9f46-69bce2a32d0a,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,8.0,4.0,4.0,0.0,completo
VI-AP-BO-BI-UN-01,APAGAVELAS BORRACHERO,ZORRO Y JAGUAR,80945,703a6982-703f-4a3e-8576-8f07e552e58e,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,4.0,2.0,2.0,0.0,completo
VI-AP-FL-ES-UN-01,APAGAVELAS ESMERALDA,ZORRO Y JAGUAR,77314,2bd67737-bc53-4160-a840-e80cad50e253,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,9.0,4.0,4.0,0.0,completo
